id,radius
4365,0.27210742
1129,0.672226
2602,0.27210742
1747,0.6698437
3286,0.27210742
787,0.27210742
2834,0.27210742
84,0.27210742
2995,0.27210742
1557,0.27210742
1315,0.27210742
625,0.27210742
5755,0.27210742
3148,0.27210742
5476,0.27210742
2586,0.67272437
323,0.27210742
4445,0.27210742
3265,0.6579313
1569,0.27210742
3727,0.27210742
2091,0.27210742
5682,0.27210742
4588,0.27210742
408,0.27210742
5842,0.27210742
4764,0.27210742
5629,0.27210742
393,0.27210742
3682,0.67246646
5595,0.65838295
5926,0.27210742
1419,0.6721796
2166,0.27210742
1883,0.67229974
3966,0.27210742
2439,0.27210742
3075,0.6725816
4454,0.27210742
2034,0.27210742
2525,0.27210742
4441,0.6578405
604,0.672047
4938,0.27210742
4006,0.67139673
4685,0.67104006
4280,0.27210742
4028,0.27210742
5969,0.27210742
3487,0.27210742
1514,0.27210742
4391,0.27210742
2977,0.65936995
1194,0.27210742
1321,0.27210742
1862,0.27210742
2803,0.27210742
811,0.6715056
5725,0.27210742
805,0.27210742
4296,0.27210742
4958,0.27210742
79,0.27210742
4635,0.27210742
3940,0.6724039
1433,0.67239916
5999,0.27210742
1600,0.6577555
228,0.27210742
3844,0.27210742
3317,0.27210742
3296,0.27210742
4856,0.27210742
3901,0.27210742
5005,0.65796316
3885,0.27210742
4724,0.27210742
1075,0.6724629
5956,0.27210742
2776,0.27210742
681,0.27210742
2549,0.27210742
3407,0.27210742
2098,0.6713305
5564,0.27210742
1221,0.27210742
1912,0.67148024
4558,0.27210742
37,0.27210742
2364,0.27210742
1215,0.27210742
2132,0.27210742
5306,0.6712924
233,0.27210742
3311,0.27210742
5008,0.27210742
4104,0.27210742
5376,0.27210742
5384,0.6590919
4055,0.27210742
1643,0.66454595
2312,0.27210742
4982,0.6717863
696,0.27210742
5957,0.27210742
2550,0.27210742
2929,0.27210742
93,0.27210742
1397,0.27210742
4086,0.27210742
5585,0.27210742
2516,0.6715683
3574,0.6582251
5883,0.27210742
4782,0.67055243
1498,0.27210742
324,0.27210742
5562,0.27210742
544,0.27210742
5371,0.6715896
23,0.27210742
2131,0.27210742
1817,0.6750117
2941,0.27210742
1721,0.27210742
2133,0.27210742
3599,0.27210742
565,0.27210742
3995,0.27210742
3839,0.27210742
5256,0.27210742
1864,0.27210742
3903,0.27210742
156,0.27210742
2480,0.27210742
3279,0.27210742
3618,0.6716294
177,0.27210742
1669,0.65992665
439,0.27210742
3718,0.27210742
1188,0.27210742
263,0.27210742
1835,0.27210742
4306,0.27210742
1448,0.67144847
221,0.27210742
254,0.27210742
308,0.27210742
1084,0.27210742
4568,0.27210742
747,0.6567866
31,0.27210742
553,0.27210742
2031,0.67273533
4419,0.27210742
2874,0.6581824
1964,0.27210742
2344,0.67234135
5556,0.27210742
5779,0.27210742
167,0.27210742
763,0.27210742
2328,0.27210742
1261,0.6731471
319,0.27210742
6021,0.27210742
2789,0.27210742
296,0.27210742
3872,0.27210742
530,0.27210742
3740,0.65944374
2877,0.6722471
5576,0.27210742
4083,0.27210742
346,0.27210742
80,0.27210742
2780,0.67297775
2847,0.65901566
3970,0.27210742
5806,0.27210742
1357,0.672691
5357,0.27210742
1039,0.27210742
865,0.27210742
2142,0.6592201
5640,0.27210742
1730,0.27210742
2694,0.6713126
5346,0.27210742
4359,0.27210742
4051,0.27210742
157,0.27210742
576,0.27210742
325,0.27210742
4211,0.27210742
5962,0.27210742
3252,0.27210742
4836,0.27210742
5439,0.670594
4669,0.27210742
960,0.6724604
2721,0.27210742
706,0.27210742
3297,0.27210742
401,0.27210742
5513,0.27210742
2650,0.27210742
4761,0.27210742
2373,0.6717446
3819,0.27210742
4969,0.27210742
5743,0.27210742
1647,0.27210742
3809,0.27210742
5744,0.27210742
2932,0.65944
2389,0.27210742
4827,0.27210742
2228,0.27210742
538,0.27210742
2375,0.27210742
5628,0.27210742
1235,0.6577153
1684,0.27210742
1755,0.27210742
1212,0.27210742
4385,0.27210742
977,0.27210742
2042,0.27210742
4899,0.27210742
6017,0.27210742
2836,0.27210742
4416,0.27210742
50,0.27210742
4058,0.27210742
1319,0.27210742
1468,0.27210742
2337,0.27210742
2765,0.27210742
3543,0.27210742
4678,0.27210742
3477,0.67261136
1650,0.27210742
1268,0.6722374
4686,0.27210742
2691,0.65792096
5537,0.27210742
4824,0.65834045
